apk_entry,bytes,width,height,transparent_ratio,opaque_ratio,partial_alpha_ratio,unique_colors_64px,avg_rgb_stddev_64px,score,reasons
res/c1C.png,22428,192,192,0.165,0.7203,0.1147,1441,75.13,4,alpha+square
res/c29.png,11666,192,192,0.1649,0.7203,0.1149,921,68.57,4,alpha+square
res/c2P.png,3997,192,192,0.1831,0.7203,0.0966,339,100.4,4,alpha+square
res/c40.png,7392,192,192,0.165,0.7203,0.1147,410,72.73,4,alpha+square
res/c43.png,9605,192,192,0.165,0.7203,0.1147,706,94.18,4,alpha+square
res/c4O.png,13478,192,192,0.165,0.7203,0.1147,887,69.22,4,alpha+square
res/c5I.png,20984,256,256,0.1644,0.7187,0.117,1210,72.79,4,alpha+square
res/c5g.png,22991,192,192,0.165,0.7203,0.1147,1480,63.94,4,alpha+square
res/c6u.png,8681,192,192,0.1653,0.7203,0.1144,862,80.34,4,alpha+square
res/c7Z.png,19676,192,192,0.165,0.1902,0.6448,1503,74.26,4,alpha+square
res/c83.png,12846,192,192,0.1615,0.7203,0.1182,1001,80.46,4,alpha+square
res/c85.png,14168,192,192,0.165,0.7203,0.1147,1071,78.63,4,alpha+square
res/c8C.png,14180,192,192,0.1653,0.7203,0.1144,1209,72.98,4,alpha+square
res/c8n.png,9218,192,192,0.1653,0.7203,0.1144,888,100.58,4,alpha+square
res/c90.png,22965,192,192,0.1637,0.7142,0.1221,1006,91.18,4,alpha+square
res/cAJ.png,11192,192,192,0.1653,0.7203,0.1144,919,86.64,4,alpha+square
res/cAX.png,13088,192,192,0.1653,0.7203,0.1144,1019,70.43,4,alpha+square
res/cAd.png,14412,192,192,0.165,0.7203,0.1147,1421,58.61,4,alpha+square
res/cB-.png,12493,192,192,0.1662,0.7191,0.1147,1020,82.39,4,alpha+square
res/cCF.png,12335,192,192,0.165,0.7203,0.1147,847,87.27,4,alpha+square
res/cCu.png,12634,192,192,0.1615,0.7203,0.1182,1008,75.52,4,alpha+square
res/cEV.png,8041,192,192,0.1649,0.7203,0.1149,630,101.07,4,alpha+square
res/cEx.png,17513,192,192,0.165,0.7203,0.1147,1604,72.03,4,alpha+square
res/cFC.png,13709,192,192,0.165,0.7203,0.1147,1151,68.0,4,alpha+square
res/cGh.png,11739,192,192,0.1653,0.7203,0.1144,1153,78.88,4,alpha+square
res/cGx.png,24381,192,192,0.1655,0.7141,0.1204,1171,100.38,4,alpha+square
res/cHR.png,19646,192,192,0.165,0.7203,0.1147,1059,70.59,4,alpha+square
res/cIu.png,12137,192,192,0.165,0.7203,0.1147,1140,62.66,4,alpha+square
res/cJn.png,11606,192,192,0.165,0.7203,0.1147,982,88.61,4,alpha+square
res/cLA.png,12286,192,192,0.1649,0.7203,0.1149,1037,73.99,4,alpha+square
res/cLL.png,11593,192,192,0.1649,0.7203,0.1149,1242,105.12,4,alpha+square
res/cLM.png,23901,192,193,0.1724,0.7103,0.1173,1370,67.22,4,alpha+square
res/cLO.png,12789,192,192,0.165,0.7203,0.1147,916,80.96,4,alpha+square
res/cMn.png,18440,192,192,0.1602,0.7202,0.1196,1408,55.07,4,alpha+square
res/cMn1.png,12658,192,193,0.1675,0.7166,0.1159,1120,76.42,4,alpha+square
res/cRn.png,11884,192,192,0.1653,0.7203,0.1144,850,87.26,4,alpha+square
res/cSC.png,11624,192,192,0.1623,0.7161,0.1216,1015,85.72,4,alpha+square
res/cSV.png,13786,192,192,0.165,0.7203,0.1147,1095,85.06,4,alpha+square
res/cSd.png,15966,192,192,0.165,0.7202,0.1148,1236,69.33,4,alpha+square
res/cUk.png,14493,192,193,0.1675,0.7166,0.116,971,72.06,4,alpha+square
res/cVG.png,12574,192,192,0.165,0.7203,0.1147,1099,86.48,4,alpha+square
res/cWO.png,19406,192,192,0.1615,0.7203,0.1182,1498,68.99,4,alpha+square
res/cX1.png,21461,192,192,0.1684,0.7133,0.1183,980,77.81,4,alpha+square
res/cX8.png,14269,192,192,0.165,0.7203,0.1147,1090,72.08,4,alpha+square
res/c_v.png,14509,192,192,0.165,0.7203,0.1147,1013,79.87,4,alpha+square
res/c_y.png,14443,192,192,0.165,0.7203,0.1147,1085,65.12,4,alpha+square
